GEO_NAME,income,Shelter-cost-to-income-ratio,tenure,fraction
Sainte-Marie,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,35,0.069306931
Sainte-Marie,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,25,0.048076923
Sainte-Marie,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,20,0.037383178
Sainte-Marie,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.027777778
Sainte-Marie,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Sainte-Marie,"$100,000 and over",Spending 30% or more of income on shelter costs,0,0
Saint-Georges,"Under $10,000",Spending 30% or more of income on shelter costs,260,0.962962963
Saint-Georges,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,1170,0.728971963
Saint-Georges,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,615,0.392971246
Saint-Georges,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,275,0.172955975
Saint-Georges,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,145,0.087878788
Saint-Georges,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,55,0.039711191
Saint-Georges,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,20,0.020942408
Saint-Georges,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,20,0.01826484
Saint-Georges,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.010638298
Saint-Georges,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.01369863
Saint-Georges,"$100,000 and over",Spending 30% or more of income on shelter costs,15,0.005347594
Thetford Mines,"Under $10,000",Spending 30% or more of income on shelter costs,275,0.916666667
Thetford Mines,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,825,0.570934256
Thetford Mines,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,525,0.307017544
Thetford Mines,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,225,0.114795918
Thetford Mines,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,90,0.06
Thetford Mines,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,75,0.06122449
Thetford Mines,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,30,0.026315789
Thetford Mines,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,10,0.011976048
Thetford Mines,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,15,0.019736842
Thetford Mines,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Thetford Mines,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.00530504
Sherbrooke,"Under $10,000",Spending 30% or more of income on shelter costs,2850,0.939044481
Sherbrooke,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,7750,0.770377734
Sherbrooke,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,4625,0.454099165
Sherbrooke,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,2290,0.205013429
Sherbrooke,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,1275,0.126300149
Sherbrooke,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,720,0.087272727
Sherbrooke,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,340,0.046195652
Sherbrooke,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,240,0.03785489
Sherbrooke,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,100,0.019193858
Sherbrooke,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,50,0.011325028
Sherbrooke,"$100,000 and over",Spending 30% or more of income on shelter costs,70,0.003597122
Cowansville,"Under $10,000",Spending 30% or more of income on shelter costs,155,0.911764706
Cowansville,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,440,0.715447154
Cowansville,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,355,0.425149701
Cowansville,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,130,0.160493827
Cowansville,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,95,0.157024793
Cowansville,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,30,0.055555556
Cowansville,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,15,0.032967033
Cowansville,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,20,0.043956044
Cowansville,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Cowansville,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Cowansville,"$100,000 and over",Spending 30% or more of income on shelter costs,0,0
Victoriaville,"Under $10,000",Spending 30% or more of income on shelter costs,530,0.972477064
Victoriaville,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,1590,0.703539823
Victoriaville,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,900,0.381355932
Victoriaville,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,455,0.159090909
Victoriaville,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,185,0.078891258
Victoriaville,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,95,0.048469388
Victoriaville,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,35,0.020348837
Victoriaville,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,25,0.015197568
Victoriaville,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,20,0.016260163
Victoriaville,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.009389671
Victoriaville,"$100,000 and over",Spending 30% or more of income on shelter costs,20,0.005249344
Trois-Rivières,"Under $10,000",Spending 30% or more of income on shelter costs,2020,0.907865169
Trois-Rivières,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,5930,0.692352598
Trois-Rivières,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,2885,0.36357908
Trois-Rivières,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,1365,0.159090909
Trois-Rivières,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,705,0.092277487
Trois-Rivières,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,340,0.051868802
Trois-Rivières,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,150,0.028355388
Trois-Rivières,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,70,0.015435502
Trois-Rivières,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,40,0.010899183
Trois-Rivières,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,30,0.009693053
Trois-Rivières,"$100,000 and over",Spending 30% or more of income on shelter costs,45,0.003121748
Shawinigan,"Under $10,000",Spending 30% or more of income on shelter costs,830,0.954022989
Shawinigan,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,2515,0.666225166
Shawinigan,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,1025,0.314900154
Shawinigan,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,585,0.174626866
Shawinigan,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,275,0.089869281
Shawinigan,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,110,0.04526749
Shawinigan,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,55,0.027638191
Shawinigan,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,25,0.015772871
Shawinigan,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,25,0.017006803
Shawinigan,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Shawinigan,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.002824859
Drummondville,"Under $10,000",Spending 30% or more of income on shelter costs,995,0.908675799
Drummondville,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,3190,0.716853933
Drummondville,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,1830,0.39912759
Drummondville,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,745,0.142447419
Drummondville,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,445,0.094080338
Drummondville,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,200,0.050441362
Drummondville,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,120,0.035087719
Drummondville,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,75,0.02559727
Drummondville,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,20,0.008602151
Drummondville,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,15,0.007075472
Drummondville,"$100,000 and over",Spending 30% or more of income on shelter costs,30,0.004043127
Granby,"Under $10,000",Spending 30% or more of income on shelter costs,665,0.904761905
Granby,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,2905,0.831187411
Granby,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,1890,0.490909091
Granby,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,1170,0.254071661
Granby,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,515,0.129886507
Granby,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,285,0.08005618
Granby,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,150,0.051813472
Granby,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,50,0.018248175
Granby,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,50,0.022624434
Granby,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,35,0.019283747
Granby,"$100,000 and over",Spending 30% or more of income on shelter costs,35,0.00443038
Saint-Hyacinthe,"Under $10,000",Spending 30% or more of income on shelter costs,615,0.897810219
Saint-Hyacinthe,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,2140,0.765652952
Saint-Hyacinthe,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,1430,0.454689984
Saint-Hyacinthe,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,620,0.191950464
Saint-Hyacinthe,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,395,0.127625202
Saint-Hyacinthe,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,205,0.080078125
Saint-Hyacinthe,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,85,0.042079208
Saint-Hyacinthe,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,40,0.020618557
Saint-Hyacinthe,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Saint-Hyacinthe,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.007968127
Saint-Hyacinthe,"$100,000 and over",Spending 30% or more of income on shelter costs,35,0.007186858
Sorel-Tracy,"Under $10,000",Spending 30% or more of income on shelter costs,485,0.941747573
Sorel-Tracy,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,1595,0.738425926
Sorel-Tracy,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,845,0.369803063
Sorel-Tracy,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,385,0.160416667
Sorel-Tracy,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,170,0.084367246
Sorel-Tracy,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,105,0.058988764
Sorel-Tracy,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,55,0.039568345
Sorel-Tracy,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,30,0.023715415
Sorel-Tracy,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.008368201
Sorel-Tracy,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Sorel-Tracy,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.002628121
Joliette,"Under $10,000",Spending 30% or more of income on shelter costs,495,0.916666667
Joliette,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,2035,0.763602251
Joliette,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,1430,0.552123552
Joliette,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,615,0.222021661
Joliette,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,315,0.125748503
Joliette,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,170,0.090909091
Joliette,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,80,0.046920821
Joliette,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,20,0.013289037
Joliette,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.008163265
Joliette,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Joliette,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.002364066
Montr_al,"Under $10,000",Spending 30% or more of income on shelter costs,55980,0.926897922
Montr_al,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,112175,0.804035408
Montr_al,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,101720,0.645820768
Montr_al,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,56335,0.339879336
Montr_al,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,35950,0.21793162
Montr_al,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,24920,0.165158896
Montr_al,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,14485,0.111094068
Montr_al,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,8400,0.072787141
Montr_al,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,5215,0.052383105
Montr_al,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,3050,0.035743584
Montr_al,"$100,000 and over",Spending 30% or more of income on shelter costs,5185,0.011330238
Salaberry-de-Valleyfield,"Under $10,000",Spending 30% or more of income on shelter costs,475,0.940594059
Salaberry-de-Valleyfield,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,1670,0.785882353
Salaberry-de-Valleyfield,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,1130,0.504464286
Salaberry-de-Valleyfield,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,505,0.227477477
Salaberry-de-Valleyfield,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,315,0.155555556
Salaberry-de-Valleyfield,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,170,0.101492537
Salaberry-de-Valleyfield,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,65,0.04467354
Salaberry-de-Valleyfield,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,35,0.029045643
Salaberry-de-Valleyfield,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.00952381
Salaberry-de-Valleyfield,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,25,0.030120482
Salaberry-de-Valleyfield,"$100,000 and over",Spending 30% or more of income on shelter costs,15,0.004552352
Lachute,"Under $10,000",Spending 30% or more of income on shelter costs,165,0.891891892
Lachute,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,565,0.672619048
Lachute,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,480,0.524590164
Lachute,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,175,0.24822695
Lachute,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,125,0.165562914
Lachute,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,30,0.071428571
Lachute,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,15,0.035294118
Lachute,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,0,0
Lachute,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Lachute,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Lachute,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.012345679
Val-d'Or,"Under $10,000",Spending 30% or more of income on shelter costs,300,0.869565217
Val-d'Or,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,785,0.638211382
Val-d'Or,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,590,0.394648829
Val-d'Or,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,285,0.183279743
Val-d'Or,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,200,0.147601476
Val-d'Or,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,80,0.073059361
Val-d'Or,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,55,0.057591623
Val-d'Or,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,25,0.026315789
Val-d'Or,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,15,0.01875
Val-d'Or,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.014814815
Val-d'Or,"$100,000 and over",Spending 30% or more of income on shelter costs,15,0.003393665
Rouyn-Noranda,"Under $10,000",Spending 30% or more of income on shelter costs,445,0.936842105
Rouyn-Noranda,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,1170,0.664772727
Rouyn-Noranda,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,740,0.428985507
Rouyn-Noranda,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,320,0.175342466
Rouyn-Noranda,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,215,0.120448179
Rouyn-Noranda,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,105,0.071428571
Rouyn-Noranda,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,70,0.058823529
Rouyn-Noranda,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,25,0.019762846
Rouyn-Noranda,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,15,0.013953488
Rouyn-Noranda,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.010695187
Rouyn-Noranda,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.001870907
Cornwall,"Under $10,000",Spending 30% or more of income on shelter costs,585,0.866666667
Cornwall,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,2365,0.853790614
Cornwall,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,2030,0.600591716
Cornwall,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,1175,0.37007874
Cornwall,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,500,0.192307692
Cornwall,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,270,0.12
Cornwall,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,95,0.04679803
Cornwall,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,55,0.030726257
Cornwall,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,30,0.022304833
Cornwall,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.008097166
Cornwall,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.002070393
Hawkesbury,"Under $10,000",Spending 30% or more of income on shelter costs,165,0.970588235
Hawkesbury,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,805,0.884615385
Hawkesbury,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,515,0.613095238
Hawkesbury,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,270,0.341772152
Hawkesbury,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,110,0.173228346
Hawkesbury,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,40,0.087912088
Hawkesbury,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,10,0.024096386
Hawkesbury,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,0,0
Hawkesbury,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Hawkesbury,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Hawkesbury,"$100,000 and over",Spending 30% or more of income on shelter costs,0,0
Hawkesbury (Quebec part),"Under $10,000",Spending 30% or more of income on shelter costs,25,0.714285714
Hawkesbury (Quebec part),"$10,000 to $19,999",Spending 30% or more of income on shelter costs,65,0.764705882
Hawkesbury (Quebec part),"$20,000 to $29,999",Spending 30% or more of income on shelter costs,70,0.583333333
Hawkesbury (Quebec part),"$30,000 to $39,999",Spending 30% or more of income on shelter costs,25,0.192307692
Hawkesbury (Quebec part),"$40,000 to $49,999",Spending 30% or more of income on shelter costs,25,0.333333333
Hawkesbury (Quebec part),"$50,000 to $59,999",Spending 30% or more of income on shelter costs,0,0
Hawkesbury (Quebec part),"$60,000 to $69,999",Spending 30% or more of income on shelter costs,0,0
Hawkesbury (Quebec part),"$70,000 to $79,999",Spending 30% or more of income on shelter costs,0,0
Hawkesbury (Quebec part),"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Hawkesbury (Quebec part),"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Hawkesbury (Quebec part),"$100,000 and over",Spending 30% or more of income on shelter costs,0,0
Hawkesbury (Ontario part),"Under $10,000",Spending 30% or more of income on shelter costs,135,1
Hawkesbury (Ontario part),"$10,000 to $19,999",Spending 30% or more of income on shelter costs,740,0.896969697
Hawkesbury (Ontario part),"$20,000 to $29,999",Spending 30% or more of income on shelter costs,450,0.625
Hawkesbury (Ontario part),"$30,000 to $39,999",Spending 30% or more of income on shelter costs,245,0.371212121
Hawkesbury (Ontario part),"$40,000 to $49,999",Spending 30% or more of income on shelter costs,85,0.153153153
Hawkesbury (Ontario part),"$50,000 to $59,999",Spending 30% or more of income on shelter costs,35,0.090909091
Hawkesbury (Ontario part),"$60,000 to $69,999",Spending 30% or more of income on shelter costs,15,0.04
Hawkesbury (Ontario part),"$70,000 to $79,999",Spending 30% or more of income on shelter costs,0,0
Hawkesbury (Ontario part),"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Hawkesbury (Ontario part),"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Hawkesbury (Ontario part),"$100,000 and over",Spending 30% or more of income on shelter costs,0,0
Ottawa - Gatineau,"Under $10,000",Spending 30% or more of income on shelter costs,13430,0.886761307
Ottawa - Gatineau,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,23705,0.785063752
Ottawa - Gatineau,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,23690,0.717335352
Ottawa - Gatineau,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,18560,0.526077098
Ottawa - Gatineau,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,14330,0.378699789
Ottawa - Gatineau,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,9620,0.257219251
Ottawa - Gatineau,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,6735,0.179528189
Ottawa - Gatineau,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,3490,0.102601793
Ottawa - Gatineau,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,2315,0.069802503
Ottawa - Gatineau,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,1505,0.048587571
Ottawa - Gatineau,"$100,000 and over",Spending 30% or more of income on shelter costs,2755,0.013060586
Ottawa - Gatineau (Quebec part),"Under $10,000",Spending 30% or more of income on shelter costs,3450,0.932432432
Ottawa - Gatineau (Quebec part),"$10,000 to $19,999",Spending 30% or more of income on shelter costs,6875,0.750545852
Ottawa - Gatineau (Quebec part),"$20,000 to $29,999",Spending 30% or more of income on shelter costs,6700,0.632672332
Ottawa - Gatineau (Quebec part),"$30,000 to $39,999",Spending 30% or more of income on shelter costs,3870,0.342933097
Ottawa - Gatineau (Quebec part),"$40,000 to $49,999",Spending 30% or more of income on shelter costs,2750,0.229166667
Ottawa - Gatineau (Quebec part),"$50,000 to $59,999",Spending 30% or more of income on shelter costs,1775,0.155225186
Ottawa - Gatineau (Quebec part),"$60,000 to $69,999",Spending 30% or more of income on shelter costs,1015,0.09168925
Ottawa - Gatineau (Quebec part),"$70,000 to $79,999",Spending 30% or more of income on shelter costs,440,0.045407637
Ottawa - Gatineau (Quebec part),"$80,000 to $89,999",Spending 30% or more of income on shelter costs,290,0.032492997
Ottawa - Gatineau (Quebec part),"$90,000 to $99,999",Spending 30% or more of income on shelter costs,115,0.014715291
Ottawa - Gatineau (Quebec part),"$100,000 and over",Spending 30% or more of income on shelter costs,205,0.004614
Ottawa - Gatineau (Ontario part),"Under $10,000",Spending 30% or more of income on shelter costs,9980,0.871996505
Ottawa - Gatineau (Ontario part),"$10,000 to $19,999",Spending 30% or more of income on shelter costs,16835,0.800332779
Ottawa - Gatineau (Ontario part),"$20,000 to $29,999",Spending 30% or more of income on shelter costs,16995,0.757690593
Ottawa - Gatineau (Ontario part),"$30,000 to $39,999",Spending 30% or more of income on shelter costs,14685,0.612002501
Ottawa - Gatineau (Ontario part),"$40,000 to $49,999",Spending 30% or more of income on shelter costs,11585,0.448335913
Ottawa - Gatineau (Ontario part),"$50,000 to $59,999",Spending 30% or more of income on shelter costs,7845,0.302137493
Ottawa - Gatineau (Ontario part),"$60,000 to $69,999",Spending 30% or more of income on shelter costs,5720,0.216216216
Ottawa - Gatineau (Ontario part),"$70,000 to $79,999",Spending 30% or more of income on shelter costs,3050,0.125385406
Ottawa - Gatineau (Ontario part),"$80,000 to $89,999",Spending 30% or more of income on shelter costs,2025,0.083539604
Ottawa - Gatineau (Ontario part),"$90,000 to $99,999",Spending 30% or more of income on shelter costs,1390,0.060017271
Ottawa - Gatineau (Ontario part),"$100,000 and over",Spending 30% or more of income on shelter costs,2545,0.015284367
Arnprior,"Under $10,000",Spending 30% or more of income on shelter costs,105,0.84
Arnprior,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,325,0.684210526
Arnprior,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,330,0.605504587
Arnprior,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,205,0.35042735
Arnprior,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,175,0.299145299
Arnprior,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,80,0.153846154
Arnprior,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,65,0.114035088
Arnprior,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,30,0.056603774
Arnprior,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.025974026
Arnprior,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,20,0.047058824
Arnprior,"$100,000 and over",Spending 30% or more of income on shelter costs,25,0.012195122
Carleton Place,"Under $10,000",Spending 30% or more of income on shelter costs,190,0.808510638
Carleton Place,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,465,0.869158879
Carleton Place,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,510,0.708333333
Carleton Place,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,355,0.458064516
Carleton Place,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,320,0.383233533
Carleton Place,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,285,0.3
Carleton Place,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,150,0.165745856
Carleton Place,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,95,0.097938144
Carleton Place,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,30,0.038216561
Carleton Place,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,50,0.061349693
Carleton Place,"$100,000 and over",Spending 30% or more of income on shelter costs,70,0.014227642
Brockville,"Under $10,000",Spending 30% or more of income on shelter costs,300,0.779220779
Brockville,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,1170,0.854014599
Brockville,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,1100,0.670731707
Brockville,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,775,0.444126074
Brockville,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,390,0.233532934
Brockville,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,230,0.159722222
Brockville,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,105,0.077490775
Brockville,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,60,0.052173913
Brockville,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,35,0.033333333
Brockville,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,30,0.035294118
Brockville,"$100,000 and over",Spending 30% or more of income on shelter costs,25,0.005882353
Pembroke,"Under $10,000",Spending 30% or more of income on shelter costs,195,0.829787234
Pembroke,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,650,0.751445087
Pembroke,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,715,0.677725118
Pembroke,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,350,0.409356725
Pembroke,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,330,0.335025381
Pembroke,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,190,0.236024845
